city,state,state_full,county,county_fips
Metlakatla,AK,Alaska,Prince Of Wales Hyder,02201
Meyers Chuck,AK,Alaska,Ketchikan Gateway,02130
Minto,AK,Alaska,Yukon Koyukuk,02290
Moose Pass,AK,Alaska,Kenai Peninsula,02122
Mountain Village,AK,Alaska,Wade Hampton,02270
Naknek,AK,Alaska,Bristol Bay,02060
Napakiak,AK,Alaska,Bethel,02050
Nenana,AK,Alaska,Yukon Koyukuk,02290
New Stuyahok,AK,Alaska,Dillingham,02070
Nightmute,AK,Alaska,Bethel,02050
Nikiski,AK,Alaska,Kenai Peninsula,02122
Nikolai,AK,Alaska,Yukon Koyukuk,02290
Nikolski,AK,Alaska,Aleutians West,02016
Ninilchik,AK,Alaska,Kenai Peninsula,02122
Noatak,AK,Alaska,Northwest Arctic,02188
Nome,AK,Alaska,Nome,02180
Nondalton,AK,Alaska,Lake And Peninsula,02164
Noorvik,AK,Alaska,Northwest Arctic,02188
North Pole,AK,Alaska,Fairbanks North Star,02090
Northway,AK,Alaska,Southeast Fairbanks,02240
Nuiqsut,AK,Alaska,North Slope,02185
Nulato,AK,Alaska,Yukon Koyukuk,02290
Nunam Iqua,AK,Alaska,Wade Hampton,02270
Nunapitchuk,AK,Alaska,Bethel,02050
Old Harbor,AK,Alaska,Kodiak Island,02150
Ouzinkie,AK,Alaska,Kodiak Island,02150
Palmer,AK,Alaska,Matanuska Susitna,02170
Pedro Bay,AK,Alaska,Lake And Peninsula,02164
Pelican,AK,Alaska,Hoonah Angoon,02232
Perryville,AK,Alaska,Lake And Peninsula,02164
Fort Ogden,FL,Florida,DeSoto,12027
Pilot Point,AK,Alaska,Lake And Peninsula,02164
Pilot Station,AK,Alaska,Wade Hampton,02270
Platinum,AK,Alaska,Bethel,02050
Point Baker,AK,Alaska,Prince Of Wales Hyder,02201
Point Hope,AK,Alaska,North Slope,02185
Point Lay,AK,Alaska,North Slope,02185
Port Alexander,AK,Alaska,Sitka,02220
Port Alsworth,AK,Alaska,Lake And Peninsula,02164
Port Heiden,AK,Alaska,Lake And Peninsula,02164
Port Lions,AK,Alaska,Kodiak Island,02150
Prudhoe Bay,AK,Alaska,North Slope,02185
Quinhagak,AK,Alaska,Bethel,02050
Rampart,AK,Alaska,Yukon Koyukuk,02290
Red Devil,AK,Alaska,Bethel,02050
Ruby,AK,Alaska,Yukon Koyukuk,02290
Russian Mission,AK,Alaska,Wade Hampton,02270
Saint George Island,AK,Alaska,Aleutians West,02016
Saint Marys,AK,Alaska,Wade Hampton,02270
Saint Michael,AK,Alaska,Nome,02180
Saint Paul Island,AK,Alaska,Aleutians West,02016
Salcha,AK,Alaska,Fairbanks North Star,02090
Sand Point,AK,Alaska,Aleutians East,02013
Savoonga,AK,Alaska,Nome,02180
Scammon Bay,AK,Alaska,Wade Hampton,02270
Selawik,AK,Alaska,Northwest Arctic,02188
Seldovia,AK,Alaska,Kenai Peninsula,02122
Seward,AK,Alaska,Kenai Peninsula,02122
Shageluk,AK,Alaska,Yukon Koyukuk,02290
Shaktoolik,AK,Alaska,Nome,02180
Shishmaref,AK,Alaska,Nome,02180
Shungnak,AK,Alaska,Northwest Arctic,02188
Sitka,AK,Alaska,Sitka,02220
Nocatee,FL,Florida,DeSoto,12027
Skwentna,AK,Alaska,Matanuska Susitna,02170
Sleetmute,AK,Alaska,Bethel,02050
Soldotna,AK,Alaska,Kenai Peninsula,02122
South Naknek,AK,Alaska,Bristol Bay,02060
Stebbins,AK,Alaska,Nome,02180
Sterling,AK,Alaska,Kenai Peninsula,02122
Stevens Village,AK,Alaska,Yukon Koyukuk,02290
Sutton,AK,Alaska,Matanuska Susitna,02170
Takotna,AK,Alaska,Yukon Koyukuk,02290
Talkeetna,AK,Alaska,Matanuska Susitna,02170
Tanacross,AK,Alaska,Southeast Fairbanks,02240
Tanana,AK,Alaska,Yukon Koyukuk,02290
Tatitlek,AK,Alaska,Valdez Cordova,02261
Teller,AK,Alaska,Nome,02180
Tenakee Springs,AK,Alaska,Hoonah Angoon,02232
Thorne Bay,AK,Alaska,Prince Of Wales Hyder,02201
Togiak,AK,Alaska,Dillingham,02070
Tok,AK,Alaska,Southeast Fairbanks,02240
Toksook Bay,AK,Alaska,Bethel,02050
Trapper Creek,AK,Alaska,Matanuska Susitna,02170
Tuluksak,AK,Alaska,Bethel,02050
Tuntutuliak,AK,Alaska,Bethel,02050
Tununak,AK,Alaska,Bethel,02050
Two Rivers,AK,Alaska,Fairbanks North Star,02090
Tyonek,AK,Alaska,Kenai Peninsula,02122
Unalakleet,AK,Alaska,Nome,02180
Unalaska,AK,Alaska,Aleutians West,02016
Valdez,AK,Alaska,Valdez Cordova,02261
Venetie,AK,Alaska,Yukon Koyukuk,02290
Wainwright,AK,Alaska,North Slope,02185
Wales,AK,Alaska,Nome,02180
Ward Cove,AK,Alaska,Ketchikan Gateway,02130
Wasilla,AK,Alaska,Matanuska Susitna,02170
White Mountain,AK,Alaska,Nome,02180
Whittier,AK,Alaska,Valdez Cordova,02261
Willow,AK,Alaska,Matanuska Susitna,02170
Wrangell,AK,Alaska,Wrangell,02280
Yakutat,AK,Alaska,Yakutat,02282
Abbeville,AL,Alabama,Henry,01067
Abernant,AL,Alabama,Tuscaloosa,01125
Adamsville,AL,Alabama,Jefferson,01073
Addison,AL,Alabama,Winston,01133
Adger,AL,Alabama,Jefferson,01073
Akron,AL,Alabama,Hale,01065
Alabaster,AL,Alabama,Shelby,01117
Alberta,AL,Alabama,Wilcox,01131
Albertville,AL,Alabama,Marshall,01095
Alexander City,AL,Alabama,Tallapoosa,01123
Alexandria,AL,Alabama,Calhoun,01015
Aliceville,AL,Alabama,Pickens,01107
Allgood,AL,Alabama,Blount,01009
Alpine,AL,Alabama,Talladega,01121
Alton,AL,Alabama,Jefferson,01073
Altoona,AL,Alabama,Etowah,01055
Andalusia,AL,Alabama,Covington,01039
Anderson,AL,Alabama,Lauderdale,01077
Annemanie,AL,Alabama,Wilcox,01131
Anniston,AL,Alabama,Calhoun,01015
Arab,AL,Alabama,Marshall,01095
Ardmore,AL,Alabama,Limestone,01083
Ariton,AL,Alabama,Dale,01045
Arley,AL,Alabama,Winston,01133
Arlington,AL,Alabama,Wilcox,01131
Ashford,AL,Alabama,Houston,01069
Ashland,AL,Alabama,Clay,01027
Ashville,AL,Alabama,Saint Clair,01115
Athens,AL,Alabama,Limestone,01083
Atmore,AL,Alabama,Escambia,01053
Attalla,AL,Alabama,Etowah,01055
Auburn,AL,Alabama,Lee,01081
Auburn University,AL,Alabama,Lee,01081
Autaugaville,AL,Alabama,Autauga,01001
Axis,AL,Alabama,Mobile,01097
Baileyton,AL,Alabama,Cullman,01043
Banks,AL,Alabama,Pike,01109
Bankston,AL,Alabama,Fayette,01057
Bay Minette,AL,Alabama,Baldwin,01003
Bayou La Batre,AL,Alabama,Mobile,01097
Bear Creek,AL,Alabama,Marion,01093
Beatrice,AL,Alabama,Monroe,01099
Beaverton,AL,Alabama,Lamar,01075
Belk,AL,Alabama,Fayette,01057
Bellamy,AL,Alabama,Sumter,01119
Belle Mina,AL,Alabama,Limestone,01083
Bellwood,AL,Alabama,Geneva,01061
Berry,AL,Alabama,Fayette,01057
Bessemer,AL,Alabama,Jefferson,01073
Billingsley,AL,Alabama,Autauga,01001
Birmingham,AL,Alabama,Jefferson,01073
Birmingham,AL,Alabama,Shelby,01117
Black,AL,Alabama,Geneva,01061
Blountsville,AL,Alabama,Blount,01009
Boaz,AL,Alabama,Etowah,01055
Boaz,AL,Alabama,Marshall,01095
Boligee,AL,Alabama,Greene,01063
Bon Air,AL,Alabama,Talladega,01121
Bon Secour,AL,Alabama,Baldwin,01003
Booth,AL,Alabama,Autauga,01001
Boykin,AL,Alabama,Wilcox,01131
Brantley,AL,Alabama,Crenshaw,01041
Bremen,AL,Alabama,Cullman,01043
Brent,AL,Alabama,Bibb,01007
Brewton,AL,Alabama,Escambia,01053
Bridgeport,AL,Alabama,Jackson,01071
Brierfield,AL,Alabama,Bibb,01007
Brilliant,AL,Alabama,Marion,01093
Brooklyn,AL,Alabama,Conecuh,01035
Brookside,AL,Alabama,Jefferson,01073
Brookwood,AL,Alabama,Tuscaloosa,01125
Brownsboro,AL,Alabama,Madison,01089
Brundidge,AL,Alabama,Pike,01109
Bryant,AL,Alabama,Jackson,01071
Bucks,AL,Alabama,Mobile,01097
Buhl,AL,Alabama,Tuscaloosa,01125
Burnwell,AL,Alabama,Walker,01127
Butler,AL,Alabama,Choctaw,01023
Bynum,AL,Alabama,Calhoun,01015
Calera,AL,Alabama,Shelby,01117
Calvert,AL,Alabama,Washington,01129
Camden,AL,Alabama,Wilcox,01131
Camp Hill,AL,Alabama,Tallapoosa,01123
Campbell,AL,Alabama,Clarke,01025
Capshaw,AL,Alabama,Limestone,01083
Carbon Hill,AL,Alabama,Walker,01127
Carlton,AL,Alabama,Clarke,01025
Carrollton,AL,Alabama,Pickens,01107
Castleberry,AL,Alabama,Conecuh,01035
Catherine,AL,Alabama,Wilcox,01131
Cecil,AL,Alabama,Montgomery,01101
Cedar Bluff,AL,Alabama,Cherokee,01019
Centre,AL,Alabama,Cherokee,01019
Centreville,AL,Alabama,Bibb,01007
Chancellor,AL,Alabama,Geneva,01061
Chapman,AL,Alabama,Butler,01013
Chatom,AL,Alabama,Washington,01129
Chelsea,AL,Alabama,Shelby,01117
Cherokee,AL,Alabama,Colbert,01033
Childersburg,AL,Alabama,Talladega,01121
Choccolocco,AL,Alabama,Calhoun,01015
Chunchula,AL,Alabama,Mobile,01097
Citronelle,AL,Alabama,Mobile,01097
Clanton,AL,Alabama,Chilton,01021
Clay,AL,Alabama,Jefferson,01073
Clayton,AL,Alabama,Barbour,01005
Cleveland,AL,Alabama,Blount,01009
Clinton,AL,Alabama,Greene,01063
Clio,AL,Alabama,Barbour,01005
Clopton,AL,Alabama,Henry,01067
Cloverdale,AL,Alabama,Lauderdale,01077
Coaling,AL,Alabama,Tuscaloosa,01125
Coden,AL,Alabama,Mobile,01097
Coffee Springs,AL,Alabama,Geneva,01061
Coffeeville,AL,Alabama,Clarke,01025
Coker,AL,Alabama,Tuscaloosa,01125
Collinsville,AL,Alabama,De Kalb,01049
Columbia,AL,Alabama,Houston,01069
Columbiana,AL,Alabama,Shelby,01117
Cook Springs,AL,Alabama,Saint Clair,01115
Coosada,AL,Alabama,Elmore,01051
Cordova,AL,Alabama,Walker,01127
Cottondale,AL,Alabama,Tuscaloosa,01125
Cottonton,AL,Alabama,Russell,01113
Cottonwood,AL,Alabama,Houston,01069
Courtland,AL,Alabama,Lawrence,01079
Cowarts,AL,Alabama,Houston,01069
Coy,AL,Alabama,Wilcox,01131
Cragford,AL,Alabama,Clay,01027
Crane Hill,AL,Alabama,Cullman,01043
Creola,AL,Alabama,Mobile,01097
Cropwell,AL,Alabama,Saint Clair,01115
Crossville,AL,Alabama,De Kalb,01049
Cuba,AL,Alabama,Sumter,01119
Cullman,AL,Alabama,Cullman,01043
Cusseta,AL,Alabama,Lee,01081
Dadeville,AL,Alabama,Tallapoosa,01123
Daleville,AL,Alabama,Dale,01045
Danville,AL,Alabama,Morgan,01103
Daphne,AL,Alabama,Baldwin,01003
Dauphin Island,AL,Alabama,Mobile,01097
Daviston,AL,Alabama,Tallapoosa,01123
Dawson,AL,Alabama,De Kalb,01049
De Armanville,AL,Alabama,Calhoun,01015
Deatsville,AL,Alabama,Elmore,01051
Decatur,AL,Alabama,Morgan,01103
Deer Park,AL,Alabama,Washington,01129
Delmar,AL,Alabama,Winston,01133
Delta,AL,Alabama,Clay,01027
Demopolis,AL,Alabama,Marengo,01091
Detroit,AL,Alabama,Lamar,01075
Dickinson,AL,Alabama,Clarke,01025
Dixons Mills,AL,Alabama,Marengo,01091
Docena,AL,Alabama,Jefferson,01073
Dolomite,AL,Alabama,Jefferson,01073
Dora,AL,Alabama,Jefferson,01073
Dothan,AL,Alabama,Houston,01069
Double Springs,AL,Alabama,Winston,01133
Douglas,AL,Alabama,Marshall,01095
Dozier,AL,Alabama,Crenshaw,01041
Duncanville,AL,Alabama,Tuscaloosa,01125
Dutton,AL,Alabama,Jackson,01071
East Tallassee,AL,Alabama,Tallapoosa,01123
Eastaboga,AL,Alabama,Calhoun,01015
Echola,AL,Alabama,Tuscaloosa,01125
Eclectic,AL,Alabama,Elmore,01051
Edwardsville,AL,Alabama,Cleburne,01029
Eight Mile,AL,Alabama,Mobile,01097
Elba,AL,Alabama,Coffee,01031
Elberta,AL,Alabama,Baldwin,01003
Eldridge,AL,Alabama,Walker,01127
Elkmont,AL,Alabama,Limestone,01083
Elmore,AL,Alabama,Elmore,01051
Elrod,AL,Alabama,Tuscaloosa,01125
Emelle,AL,Alabama,Sumter,01119
Empire,AL,Alabama,Walker,01127
Enterprise,AL,Alabama,Coffee,01031
Epes,AL,Alabama,Sumter,01119
Equality,AL,Alabama,Coosa,01037
Estillfork,AL,Alabama,Jackson,01071
Ethelsville,AL,Alabama,Pickens,01107
Eufaula,AL,Alabama,Barbour,01005
Eutaw,AL,Alabama,Greene,01063
Eva,AL,Alabama,Morgan,01103
Evergreen,AL,Alabama,Conecuh,01035
Excel,AL,Alabama,Monroe,01099
Fackler,AL,Alabama,Jackson,01071
Fairfield,AL,Alabama,Jefferson,01073
Fairhope,AL,Alabama,Baldwin,01003
Falkville,AL,Alabama,Morgan,01103
Faunsdale,AL,Alabama,Marengo,01091
Fayette,AL,Alabama,Fayette,01057
Fitzpatrick,AL,Alabama,Bullock,01011
Five Points,AL,Alabama,Chambers,01017
Flat Rock,AL,Alabama,Jackson,01071
Flomaton,AL,Alabama,Escambia,01053
Florala,AL,Alabama,Covington,01039
Florence,AL,Alabama,Lauderdale,01077
Foley,AL,Alabama,Baldwin,01003
Forest Home,AL,Alabama,Butler,01013
Forkland,AL,Alabama,Greene,01063
Fort Davis,AL,Alabama,Macon,01087
Fort Deposit,AL,Alabama,Lowndes,01085
Fort Mitchell,AL,Alabama,Russell,01113
Fort Payne,AL,Alabama,De Kalb,01049
Fort Rucker,AL,Alabama,Dale,01045
Fosters,AL,Alabama,Tuscaloosa,01125
Franklin,AL,Alabama,Monroe,01099
Frankville,AL,Alabama,Washington,01129
Frisco City,AL,Alabama,Monroe,01099
Fruitdale,AL,Alabama,Washington,01129
Fruithurst,AL,Alabama,Cleburne,01029
Fulton,AL,Alabama,Clarke,01025
Fultondale,AL,Alabama,Jefferson,01073
Furman,AL,Alabama,Wilcox,01131
Fyffe,AL,Alabama,De Kalb,01049
Gadsden,AL,Alabama,Etowah,01055
Gainestown,AL,Alabama,Clarke,01025
Gainesville,AL,Alabama,Sumter,01119
Gallant,AL,Alabama,Etowah,01055
Gallion,AL,Alabama,Marengo,01091
Gantt,AL,Alabama,Covington,01039
Garden City,AL,Alabama,Cullman,01043
Gardendale,AL,Alabama,Jefferson,01073
Gaylesville,AL,Alabama,Cherokee,01019
Geneva,AL,Alabama,Geneva,01061
Georgiana,AL,Alabama,Butler,01013
Geraldine,AL,Alabama,De Kalb,01049
Gilbertown,AL,Alabama,Choctaw,01023
Glen Allen,AL,Alabama,Fayette,01057
Glenwood,AL,Alabama,Crenshaw,01041
Goodsprings,AL,Alabama,Walker,01127
Goodwater,AL,Alabama,Coosa,01037
Goodway,AL,Alabama,Monroe,01099
Gordo,AL,Alabama,Pickens,01107
Gordon,AL,Alabama,Houston,01069
Goshen,AL,Alabama,Pike,01109
Grady,AL,Alabama,Montgomery,01101
Graham,AL,Alabama,Randolph,01111
Grand Bay,AL,Alabama,Mobile,01097
Grant,AL,Alabama,Marshall,01095
Graysville,AL,Alabama,Jefferson,01073
Green Pond,AL,Alabama,Bibb,01007
Greensboro,AL,Alabama,Hale,01065
Greenville,AL,Alabama,Butler,01013
Grove Hill,AL,Alabama,Clarke,01025
Groveoak,AL,Alabama,De Kalb,01049
Guin,AL,Alabama,Marion,01093
Gulf Shores,AL,Alabama,Baldwin,01003
Guntersville,AL,Alabama,Marshall,01095
Gurley,AL,Alabama,Madison,01089
Hackleburg,AL,Alabama,Marion,01093
Haleyville,AL,Alabama,Winston,01133
Hamilton,AL,Alabama,Marion,01093
Hanceville,AL,Alabama,Cullman,01043
Hardaway,AL,Alabama,Macon,01087
Harpersville,AL,Alabama,Shelby,01117
Hartford,AL,Alabama,Geneva,01061
Hartselle,AL,Alabama,Morgan,01103
Harvest,AL,Alabama,Madison,01089
Hatchechubbee,AL,Alabama,Russell,01113
Hayden,AL,Alabama,Blount,01009
Hayneville,AL,Alabama,Lowndes,01085
Hazel Green,AL,Alabama,Madison,01089
Headland,AL,Alabama,Henry,01067
Heflin,AL,Alabama,Cleburne,01029
Helena,AL,Alabama,Shelby,01117
Henagar,AL,Alabama,De Kalb,01049
Higdon,AL,Alabama,Jackson,01071
Highland Home,AL,Alabama,Crenshaw,01041
Hillsboro,AL,Alabama,Lawrence,01079
Hodges,AL,Alabama,Franklin,01059
Hollins,AL,Alabama,Clay,01027
Holly Pond,AL,Alabama,Cullman,01043
Hollytree,AL,Alabama,Jackson,01071
Hollywood,AL,Alabama,Jackson,01071
Holy Trinity,AL,Alabama,Russell,01113
Honoraville,AL,Alabama,Crenshaw,01041
Hope Hull,AL,Alabama,Montgomery,01101
Horton,AL,Alabama,Marshall,01095
Houston,AL,Alabama,Winston,01133
Huntsville,AL,Alabama,Madison,01089
Hurtsboro,AL,Alabama,Russell,01113
Huxford,AL,Alabama,Escambia,01053
Ider,AL,Alabama,De Kalb,01049
Irvington,AL,Alabama,Mobile,01097
Jachin,AL,Alabama,Choctaw,01023
Jack,AL,Alabama,Coffee,01031
Jackson,AL,Alabama,Clarke,01025
Jacksons Gap,AL,Alabama,Tallapoosa,01123
Jacksonville,AL,Alabama,Calhoun,01015
Jasper,AL,Alabama,Walker,01127
Jefferson,AL,Alabama,Marengo,01091
Jemison,AL,Alabama,Chilton,01021
Jones,AL,Alabama,Autauga,01001
Joppa,AL,Alabama,Cullman,01043
Kansas,AL,Alabama,Walker,01127
Kellerman,AL,Alabama,Tuscaloosa,01125
Kellyton,AL,Alabama,Coosa,01037
Kennedy,AL,Alabama,Lamar,01075
Kent,AL,Alabama,Elmore,01051
Killen,AL,Alabama,Lauderdale,01077
Kimberly,AL,Alabama,Jefferson,01073
Kinston,AL,Alabama,Coffee,01031
Knoxville,AL,Alabama,Greene,01063
Laceys Spring,AL,Alabama,Morgan,01103
Lafayette,AL,Alabama,Chambers,01017
Lanett,AL,Alabama,Chambers,01017
Langston,AL,Alabama,Jackson,01071
Lapine,AL,Alabama,Montgomery,01101
Lawley,AL,Alabama,Bibb,01007
Leeds,AL,Alabama,Jefferson,01073
Leesburg,AL,Alabama,Cherokee,01019
Leighton,AL,Alabama,Colbert,01033
Lenox,AL,Alabama,Conecuh,01035
Leroy,AL,Alabama,Washington,01129
Lester,AL,Alabama,Limestone,01083
Letohatchee,AL,Alabama,Lowndes,01085
Lexington,AL,Alabama,Lauderdale,01077
Lillian,AL,Alabama,Baldwin,01003
Lincoln,AL,Alabama,Talladega,01121
Linden,AL,Alabama,Marengo,01091
Lineville,AL,Alabama,Clay,01027
Lisman,AL,Alabama,Choctaw,01023
Little River,AL,Alabama,Baldwin,01003
Livingston,AL,Alabama,Sumter,01119
Loachapoka,AL,Alabama,Lee,01081
Lockhart,AL,Alabama,Covington,01039
Locust Fork,AL,Alabama,Blount,01009
Logan,AL,Alabama,Cullman,01043
Louisville,AL,Alabama,Barbour,01005
Lower Peach Tree,AL,Alabama,Wilcox,01131
Lowndesboro,AL,Alabama,Lowndes,01085
Loxley,AL,Alabama,Baldwin,01003
Luverne,AL,Alabama,Crenshaw,01041
Lynn,AL,Alabama,Winston,01133
Madison,AL,Alabama,Limestone,01083
Madison,AL,Alabama,Madison,01089
Magnolia,AL,Alabama,Marengo,01091
Magnolia Springs,AL,Alabama,Baldwin,01003
Malcolm,AL,Alabama,Washington,01129
Malvern,AL,Alabama,Geneva,01061
Maplesville,AL,Alabama,Chilton,01021
Marbury,AL,Alabama,Autauga,01001
Margaret,AL,Alabama,Saint Clair,01115
Marion,AL,Alabama,Perry,01105
Marion Junction,AL,Alabama,Dallas,01047
Mathews,AL,Alabama,Montgomery,01101
Maylene,AL,Alabama,Shelby,01117
Mc Calla,AL,Alabama,Jefferson,01073
Mc Intosh,AL,Alabama,Washington,01129
Mc Kenzie,AL,Alabama,Butler,01013
Mc Shan,AL,Alabama,Pickens,01107
Mc Williams,AL,Alabama,Wilcox,01131
Megargel,AL,Alabama,Monroe,01099
Melvin,AL,Alabama,Choctaw,01023
Mentone,AL,Alabama,De Kalb,01049
Meridianville,AL,Alabama,Madison,01089
Mexia,AL,Alabama,Monroe,01099
Midland City,AL,Alabama,Dale,01045
Midway,AL,Alabama,Bullock,01011
Millbrook,AL,Alabama,Elmore,01051
Millerville,AL,Alabama,Clay,01027
Millport,AL,Alabama,Lamar,01075
Millry,AL,Alabama,Washington,01129
Minter,AL,Alabama,Dallas,01047
Mobile,AL,Alabama,Mobile,01097
Monroeville,AL,Alabama,Monroe,01099
Montevallo,AL,Alabama,Shelby,01117
Montgomery,AL,Alabama,Montgomery,01101
Montrose,AL,Alabama,Baldwin,01003
Moody,AL,Alabama,Saint Clair,01115
Mooresville,AL,Alabama,Limestone,01083
Morris,AL,Alabama,Jefferson,01073
Morvin,AL,Alabama,Clarke,01025
Moulton,AL,Alabama,Lawrence,01079
